influence,creativity,threat,ict_index,was_home,xG,xA,xGC,Fixture,Form,total_points
54,95.5,40,19,FALSE,0.48795855,0.201828837,0.883566,6,4.25,10
40.6,54.6,56,15.1,FALSE,1.305140257,0.196451977,1.91057,1,3.75,6
19.6,17.2,22,5.9,TRUE,0.048012972,0.1401252,1.01083,7,0.25,6
5.4,15.8,29,5,TRUE,0.091002658,0.050913982,0.325347,1,1,3
5.8,17.8,0,2.4,FALSE,0,0.067462683,0.835827,2,2.25,3
16.6,4.6,39,6,FALSE,0.150091842,0,1.03178,8,4.5,2
6.6,24.3,62,9.3,FALSE,0.298800439,0.122763149,0.488485,3,4,10
26,29.9,8,6.4,TRUE,0,0.173925042,0.165019,6,11.25,6
6,2.2,41,4.9,FALSE,0.223624453,0,1.03178,8,4.25,1
19.4,7.1,15,4.2,FALSE,0.085693248,0,0.488485,3,3.5,3
10.4,14.6,28,5.3,TRUE,0.117460646,0.097945638,2.31811,8,3.25,2
13.2,13.2,46,7.2,FALSE,0.215872094,0,1.18904,2,1.25,2
45,27.7,19,9.2,FALSE,0.761168838,0.01901494,1.03178,8,2.5,10
16,19.5,17,5.3,FALSE,0.045693722,0.116732433,0.464555,3,1.75,2
6.2,12.2,3,2.1,TRUE,0.015894851,0.02970396,0.962065,7,1.25,3
5.4,4.2,0,1,FALSE,0,0,1.03178,8,1.5,2
7.8,44.3,13,6.5,FALSE,0.076559007,0.183627367,0.572528,7,2.75,2
11.8,32.8,1,4.6,TRUE,0.030465124,0.103740223,1.06181,4,1.5,2
3,1.4,0,0.4,TRUE,0,0,0.738826,10,0.75,2
15.2,4.4,8,2.8,FALSE,0.019246347,0,0.179144,5,2,3
9.6,1.5,2,1.3,FALSE,0,0,0.464555,3,1.75,1
0,3.9,5,0.3,TRUE,0.377676576,0,1.46058,9,5.75,2
25.4,41.5,18,8.5,FALSE,0.026235314,0.11424771,0.464555,3,1,2
7.2,23.3,38,6.9,FALSE,0.160709187,0.016572598,0.572528,7,5,2
43.4,5.8,17,6.6,TRUE,0.114916086,0,0.569286,9,1.75,8
14.4,0.8,1,1.6,TRUE,0.017814521,0,0.738826,10,0,2
24,35.5,8,6.8,TRUE,0,0.201504007,2.6558,5,1.75,2
4.6,17.3,22,4.4,TRUE,0.178175583,0.074210472,1.60482,3,2.75,2
33.8,8.5,33,7.5,FALSE,0.684759915,0,2.52702,9,9,6
8.2,21.1,37,6.6,FALSE,0.31005919,0.037696023,2.49923,7,1.25,2
22.2,27.6,2,5.2,TRUE,0,0.083050415,1.60482,3,4,5
41.4,33.4,18,9.3,FALSE,0.453402847,0.084508255,1.24037,9,3.25,7
13.6,0.8,0,1.4,FALSE,0,0,1.24037,9,1.25,2
34.6,37.5,10,8.2,TRUE,0.025306553,0.141064599,1.08731,2,1.5,2
12.2,29.2,2,4.3,TRUE,0,0.177056223,0.949561,7,0.5,2
45.2,49.6,10,10.5,TRUE,0.015991488,0.233307809,1.60482,3,3.75,6
43.4,29.1,20,9.3,TRUE,0.0880659,0.150664926,0.935866,5,1,10
23,20.9,7,5.1,TRUE,0.025445944,0.363447726,1.60482,3,1.5,2
47.2,70,49,16.6,TRUE,0.779942811,0.436847925,1.12391,10,2.5,13
50.2,63.8,41,15.5,FALSE,0.435919583,0.999452233,0.958825,1,2.75,9
22.4,30.3,45,9.8,TRUE,0.08383394,0.011167292,0.440887,1,6.5,3
13.2,29.6,38,8.1,TRUE,0.174729437,0.060689479,0.935866,5,1.5,3
3.2,4.3,0,0.8,TRUE,0,0,0.314532,2,2,3
21,12.1,7,4,TRUE,0.017426724,0.036578294,0.935866,5,1.5,3
25.4,53.6,49,12.8,FALSE,0.198634759,0.252701908,0.353777,4,4.5,2
14.6,13.3,42,7,FALSE,0.231809974,0,0.463733,4,6.25,3
22.8,30.8,3,5.7,FALSE,0.016902149,0.161644205,0.463733,4,3.5,6
19.2,12,13,4.4,FALSE,0.050037738,0.012136494,2.49923,7,2,2
19.2,5.3,27,5.2,TRUE,0.034778245,0,1.25288,6,2,2
5.6,6.7,26,3.8,TRUE,0.099639431,0,1.25288,6,2.5,2
44.4,21.6,44,11,TRUE,0.189778581,0,0.918309,2,3.75,9
3.6,5.3,36,4.5,FALSE,0.076568574,0,0.228009,1,7,3
49.8,17,26,9.3,TRUE,0.343759596,0.017723486,1.0666,10,2.5,10
60.6,46.5,63,17,TRUE,0.400285661,0.272815168,0.907103,7,4.5,13
12.4,22.5,0,3.5,TRUE,0,0.107249483,0.907103,7,1.5,1
13.2,8.1,15,3.6,TRUE,0.049558382,0,1.60667,4,1.25,2
17,23.2,8,4.8,TRUE,0,0.036093611,1.0666,10,4.5,4
11.4,7.3,0,1.9,TRUE,0,0,1.0666,10,1.25,1
2.4,4.3,10,1.7,TRUE,0.041771021,0,2.66472,9,5,1
10.6,36.5,14,6.1,TRUE,0.118628584,0.137858674,0.395896,2,2,2
11,6.3,0,1.7,TRUE,0,0,2.66472,9,1.5,2
0,15.9,18,3.2,FALSE,0.528072655,0.101661012,1.18135,1,4,2
25,85.2,27,13.7,TRUE,0.096835904,0.308225274,0.918309,2,3.25,2
11.4,1.7,0,1.3,FALSE,0,0,1.20485,9,2.5,2
19.4,16.2,8,4.4,FALSE,0.018590197,0.025284762,0.760046,3,1.75,2
20.4,44.9,52,11.7,TRUE,0.374607742,0.211918235,0.395896,2,2.5,3
13.4,26.1,45,8.5,FALSE,0.175458267,0.240490183,1.82995,3,1.5,2
10.8,19.3,26,5.6,FALSE,0.105253644,0.074010558,1.7362,4,5,2
11,31,6,4.8,TRUE,0,0.15595074,1.60667,4,5.25,2
16.2,15.1,21,5.2,FALSE,0.335836202,0.060427606,1.7362,4,5,2
22.8,1.2,4,2.8,FALSE,0,0,1.82995,3,2,2
12.4,19.7,27,5.9,FALSE,0.120542385,0.082310587,0.32099,6,2.5,3
8.4,8.4,8,2.5,FALSE,0.026252946,0,1.95451,10,6,2
30.4,26.4,0,5.7,FALSE,0,0.196745649,1.95451,10,1.5,2
42,18.8,14,7.5,FALSE,0.06185874,0.018051488,2.87972,9,7.25,6
9.8,2.2,1,1.3,FALSE,0.034539916,0,2.87972,9,1.25,1
29,52.4,16,9.7,FALSE,0.097041704,0.404439628,2.75981,7,1.5,5
36.6,11.8,5,5.3,TRUE,0.042666312,0.04546313,1.10818,4,1,3
23.2,54.4,51,12.9,TRUE,0.215945467,0.115532987,0.91785,5,3.25,2
27.4,53.3,9,9,FALSE,0.018847713,0.152360946,1.88587,2,1.25,2
35,2.3,33,7,FALSE,0.514060855,0,1.06276,7,1.25,9
