name,pos,avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,was_home,form,class
Dejan Kulusevski,MID,0.189275291,0.383280808,0.9279865,29.6,30.825,29.25,8.975,6,1,6.5,?
Rodrigo Bentancur,MID,0.014802327,0.118177516,0.9279865,23.6,11.175,2.25,3.7,6,1,3.5,?
Moussa Sissoko,MID,0.171732321,0.117479892,1.484863,12.8,22,9.75,4.475,4,1,1.5,?
Dan Gosling,MID,0,0,1.484863,0,0,0,0,4,1,0,?
Tom Cleverley,MID,0.016802059,0.01998931,1.484863,2.55,0.325,0,0.275,4,1,0.75,?
Ken Sema,MID,0,0,1.484863,0,0,0,0,4,1,0.25,?
Ismaila Sarr,MID,0.105698898,0.112853798,1.484863,2.7,5.85,2.25,1.075,4,1,1,?
Imrân Louza,MID,0.072010957,0.032560331,1.484863,14.4,12.175,8.5,3.525,4,1,1.5,?
Oghenekaro Peter Etebo,MID,0.006791015,0,1.484863,0.15,0.075,0,0.025,4,1,0.25,?
Juraj Kucka,MID,0.158075853,0.077924982,1.484863,11.55,4.6,15,3.125,4,1,2.75,?
Edo Kayembe,MID,0,0,1.484863,0.95,0.2,0,0.125,4,1,0.25,?
Samuel Kalu,MID,0.021318972,0,1.484863,0.05,0.075,0,0.025,4,1,0.25,?
Mark Noble,MID,0.190292209,0,1.5287615,1.05,0.45,0,0.15,1,1,0.25,?
Andriy Yarmolenko,MID,0.082295095,0.003191615,1.5287615,10.9,2.85,7.25,2.05,1,1,2,?
Manuel Lanzini,MID,0.100674927,0.00998162,1.5287615,3.55,6.9,2.5,1.275,1,1,1,?
Saïd Benrahma,MID,0.135569843,0.277901178,1.5287615,24.65,15,21.75,6.125,1,1,5.5,?
Jarrod Bowen,MID,0.240840904,0.062139701,1.5287615,10.9,6.025,7,2.4,1,1,3.75,?
Declan Rice,MID,0.034778211,0.006035282,1.5287615,19.6,7.45,2.5,2.95,1,1,2.5,?
Tomas Soucek,MID,0.023448242,0.017241906,1.5287615,12.7,4.475,6.75,2.4,1,1,2,?
Pablo Fornals,MID,0.159057658,0.156419205,1.5287615,16.75,16.8,13.5,4.7,1,1,3.25,?
Nikola Vlasic,MID,0.036238715,0.018775128,1.5287615,0.3,0.425,0,0.075,1,1,0.5,?
Alex Kral,MID,0.030804351,0.030272994,1.5287615,0,0,0,0,1,1,0,?
Sonny Perkins,MID,0,0,1.5287615,0,0,0,0,1,1,0,?
