avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,was_home,form,total_points,class
0.074925548,0.040666724,1.2596575,12.35,9.85,9.25,3.075,3,1,4,1,no
0.453768156,0.433640998,0.981419,28.85,26.875,35.25,9.1,7,1,5.5,1,no
0.285802387,0.022040294,1.6468515,11.3,4.525,33.25,4.875,7,0,3,1,no
0.015558173,0.023540268,1.2834925,11.1,4.9,8.25,2.425,10,0,2.25,1,no
0.138378093,0.021078076,1.31500575,3.35,3.425,11,1.775,6,1,1,1,no
0.048989596,0.155347109,1.739314,6.55,11.05,14.5,3.2,4,1,2.75,1,no
0.446978971,0,1.02894725,25.65,0.75,30.25,5.65,8,1,4.75,1,no
0.046723418,0,2.3183815,1.9,1.875,12.25,1.55,7,1,1.25,1,no
1.19208467,0.08661853,0.945333,46.35,17.475,79,14.3,7,1,7.5,1,no
0.732079964,0.190557122,0.83114925,32.7,4.85,58.5,9.6,2,1,7.25,1,no
0.138378093,0.027583614,1.2615785,3.85,5.975,11,2.075,4,0,1,1,no
0.200265399,0.036911847,1.1775875,12.95,10.975,15.5,3.875,5,1,4,1,no
0.516204968,0.360967804,0.699418,26,25.05,59.5,11.05,8,0,5,1,no
0.283661127,0,1.08235975,18.1,0.5,22,4.05,7,1,3.75,1,no
0.019411383,0.026141277,2.36454,1.4,8.05,9.75,1.925,2,0,1,1,no
0.33899536,0.064217886,0.88132725,19.85,12.65,41.5,7.3,8,1,5.25,1,no
0.187977031,0,2.34418,1.2,0.3,21,2.3,7,0,2,1,no
0.044857902,0.129988164,1.211553,6.9,8.025,7.5,2.15,10,1,1.5,1,no
0.306729406,0.047769208,1.2378225,11.6,11,45.25,6.775,7,1,2.75,1,no
0.097221829,0.051650632,1.6464255,9.05,15.525,22.75,4.725,5,0,2.5,1,no
0.091067115,0,1.0499205,1.85,2.05,7.5,1.125,5,0,1,1,no
0,0.026141277,2.30989,1.4,6.975,2.5,1.075,8,0,1,1,no
0.259766269,0.100699157,0.88136675,12.3,18.5,29.75,6,2,1,3.75,1,no
0.271298733,0.154279869,0.8807445,3.55,10.2,24,3.775,3,0,0.75,1,no
0.37191974,0.180134598,1.562546,21.2,19.25,45,8.5,9,1,4.5,1,no
0.224440833,0.037856311,1.2914925,31.1,13.275,16.25,6.075,8,0,5.75,1,no
0.158195475,0.196283652,1.17122225,18.7,18.65,18.5,5.6,2,0,3.75,1,no
0.727305971,0,0.75924375,20,1.1,54.75,7.55,7,1,4.5,1,no
0.044857902,0.129988164,1.65934725,6.9,7.975,7.5,2.125,3,0,1.5,1,no
0.22760234,0.021785222,0.956694,10.05,7.35,34.5,5.175,1,0,2.75,1,no
0,0,2.324805,0.05,0.675,1.5,0.2,3,1,1,1,no
0.260600958,0.043493118,1.02230575,9.25,8.675,12.75,2.975,10,0,2.75,1,no
0.060893323,0.154279869,0.7840295,2.55,9.875,10.75,2.325,7,1,0.75,1,no
0.158808086,0.113141838,1.739361,11.7,10.3,21.25,4.275,4,0,3.5,1,no
0.589362708,0,0.68210225,19.15,0.8,46.25,6.6,9,0,4.25,1,no
0.593199477,0.034523997,1.36727225,10.2,13.175,55.25,7.625,7,1,2,1,no
0.185188087,0.085240759,1.447975,16.45,9.825,26.75,5.325,5,0,3.25,1,no
