name,avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,is_home,form
Liam Delap,0.0,0.0,0.60850925,0.0,0.0,1.0,0.05,7,1,0.5
David de Gea,0.0,0.0,0.737481,18.2,0.075,0.0,1.8,3,0,4.5
Paul Pogba,0.09484165254980326,0.1305967690423131,0.737481,19.35,10.725,15.0,4.5,3,0,3.5
Harry Maguire,0.2225098665803671,0.0,0.737481,17.7,0.8499999999999999,18.25,3.6750000000000003,3,0,3.75
Frederico Rodrigues de Paula Santos,0.020184794440865517,0.37601597327739,0.737481,6.9,7.65,6.75,2.15,3,0,1.5
Luke Shaw,0.0046105217188596725,0.26919824443757534,0.737481,16.599999999999998,23.525000000000002,4.0,4.425,3,0,3.25
Jesse Lingard,0.022189642768353224,0.0,0.737481,0.85,0.775,2.0,0.35000000000000003,3,0,0.25
Bruno Miguel Borges Fernandes,0.3315097112208605,0.3703371174633503,0.737481,27.6,57.525000000000006,33.25,11.85,3,0,4.25
Alex Nicolao Telles,0.031218368327245116,0.01110804220661521,0.737481,3.6999999999999997,5.875,4.75,1.425,3,0,1.75
Dean Henderson,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,3,0,0.0
Marcus Rashford,0.30651156418025494,0.2780131306499243,0.737481,13.799999999999999,9.7,29.25,5.3,3,0,3.25
Victor Lindelöf,0.0,0.0,0.737481,1.8,0.125,0.0,0.2,3,0,1.5
Scott McTominay,0.05423766653984785,0.04676451347768307,0.737481,17.0,16.325,9.25,4.25,3,0,2.75
Aaron Wan-Bissaka,0.0,0.020445531234145164,0.737481,0.0,0.0,0.0,0.0,3,0,0.0
Juan Mata,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,3,0,0.0
Jadon Sancho,0.5226991735398769,0.18205969780683517,0.737481,15.8,17.224999999999998,38.75,7.174999999999999,3,0,3.5
Tom Heaton,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,3,0,0.0
José Diogo Dalot Teixeira,0.03506778413429856,0.06687629828229547,0.737481,19.4,16.625,10.0,4.6000000000000005,3,0,4.75
Anthony Elanga,0.02006200747564435,0.02536967024207115,0.737481,4.05,9.35,8.75,2.225,3,0,2.0
Cristiano Ronaldo dos Santos Aveiro,0.456815242767334,0.44150710850954056,0.737481,17.0,19.225,46.75,8.2,3,0,3.25
Phil Jones,0.0,0.0,0.737481,0.0,0.0,0.0,0.0,3,0,0.0
Hannibal Mejbri,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,3,0,0.0
Joseph Willock,FAIL,FAIL,FAIL,10.6,8.75,26.25,4.575,9,0,2.75
Matt Targett,FAIL,FAIL,FAIL,4.05,3.6,0.0,0.775,9,0,0.5
Dan Burn,FAIL,FAIL,FAIL,13.950000000000001,0.775,10.0,2.4749999999999996,9,0,1.75
Chris Wood,FAIL,FAIL,FAIL,2.3,10.075,37.25,4.8,9,0,2.0
